Date;Adj Close
13/01/2025;408
14/01/2025;418
15/01/2025;406
16/01/2025;410
17/01/2025;400
20/01/2025;404
21/01/2025;408
22/01/2025;408
23/01/2025;400
24/01/2025;394
30/01/2025;374
31/01/2025;382
03/02/2025;372
04/02/2025;376
05/02/2025;388
06/02/2025;392
07/02/2025;370
10/02/2025;362
11/02/2025;364
12/02/2025;338
13/02/2025;334
14/02/2025;364
17/02/2025;370
18/02/2025;378
19/02/2025;394
20/02/2025;430
21/02/2025;416
24/02/2025;418
25/02/2025;404
26/02/2025;382
27/02/2025;384
28/02/2025;354
03/03/2025;380
04/03/2025;364
05/03/2025;372
06/03/2025;392
07/03/2025;398
10/03/2025;390
11/03/2025;376
12/03/2025;384
13/03/2025;380
14/03/2025;374
17/03/2025;386
18/03/2025;360
19/03/2025;362
20/03/2025;368
21/03/2025;340
24/03/2025;318
25/03/2025;326
26/03/2025;332
27/03/2025;332
08/04/2025;284
09/04/2025;276
10/04/2025;300
11/04/2025;348
14/04/2025;362
15/04/2025;360
16/04/2025;370
17/04/2025;368
21/04/2025;380
22/04/2025;382
23/04/2025;376
24/04/2025;372
25/04/2025;370
28/04/2025;368
29/04/2025;396
30/04/2025;382
02/05/2025;374
05/05/2025;374
06/05/2025;396
07/05/2025;396
08/05/2025;384
09/05/2025;378
14/05/2025;362
15/05/2025;360
16/05/2025;360
19/05/2025;364
20/05/2025;360
21/05/2025;360
22/05/2025;382
23/05/2025;384
26/05/2025;420
27/05/2025;400
28/05/2025;390
02/06/2025;388
03/06/2025;386
04/06/2025;402
05/06/2025;416
10/06/2025;432
11/06/2025;484
12/06/2025;494
13/06/2025;494
16/06/2025;454
17/06/2025;458
18/06/2025;442
19/06/2025;422
20/06/2025;414
23/06/2025;404
24/06/2025;404
25/06/2025;392
26/06/2025;398
30/06/2025;396
01/07/2025;408
02/07/2025;392
03/07/2025;396
04/07/2025;404
07/07/2025;398
08/07/2025;408
09/07/2025;404
10/07/2025;402
11/07/2025;400
14/07/2025;436
15/07/2025;432
16/07/2025;452
17/07/2025;446
18/07/2025;450
21/07/2025;472
22/07/2025;438
23/07/2025;442
24/07/2025;438
25/07/2025;430
28/07/2025;442
29/07/2025;470
30/07/2025;454
31/07/2025;430
01/08/2025;440
04/08/2025;434
05/08/2025;420
06/08/2025;468
07/08/2025;458
08/08/2025;450
11/08/2025;444
12/08/2025;434
13/08/2025;442
14/08/2025;434
15/08/2025;436
19/08/2025;454
20/08/2025;480
21/08/2025;482
22/08/2025;478
25/08/2025;486
26/08/2025;478
27/08/2025;470
28/08/2025;478
29/08/2025;470
01/09/2025;476
02/09/2025;525
03/09/2025;520
04/09/2025;494
08/09/2025;505
09/09/2025;510
10/09/2025;494
11/09/2025;488
12/09/2025;510
15/09/2025;555
16/09/2025;575
17/09/2025;565
18/09/2025;555
19/09/2025;650
22/09/2025;610
23/09/2025;685
24/09/2025;715
25/09/2025;700
26/09/2025;715
29/09/2025;850
30/09/2025;840
01/10/2025;935
02/10/2025;955
03/10/2025;950
06/10/2025;980
07/10/2025;925
08/10/2025;955
09/10/2025;945
10/10/2025;940
13/10/2025;1,075.00
14/10/2025;1,090.00
15/10/2025;1,060.00
16/10/2025;1,060.00
17/10/2025;1,025.00
20/10/2025;965
21/10/2025;960
22/10/2025;910
23/10/2025;920
24/10/2025;880
27/10/2025;865
28/10/2025;855
29/10/2025;930
30/10/2025;895
31/10/2025;920
03/11/2025;975
04/11/2025;930
05/11/2025;1,020.00
06/11/2025;960
07/11/2025;955
10/11/2025;975
11/11/2025;995
12/11/2025;980
13/11/2025;1,005.00
14/11/2025;975
17/11/2025;930
18/11/2025;930
19/11/2025;950
20/11/2025;950
21/11/2025;990
24/11/2025;1,025.00
25/11/2025;975
26/11/2025;990
27/11/2025;985
28/11/2025;975
01/12/2025;990
02/12/2025;1,015.00
03/12/2025;1,000.00
04/12/2025;980
05/12/2025;980
08/12/2025;970
09/12/2025;960
10/12/2025;980
11/12/2025;985
12/12/2025;1,230.00
15/12/2025;1,125.00
16/12/2025;1,140.00
17/12/2025;1,130.00
18/12/2025;1,130.00
19/12/2025;1,130.00
22/12/2025;1,165.00
23/12/2025;1,155.00
24/12/2025;1,085.00
26/12/2025;1,085.00
29/12/2025;1,145.00
30/12/2025;1,100.00
31/12/2025;1,100.00
02/01/2026;1,180.00
05/01/2026;1,275.00
06/01/2026;1,285.00
07/01/2026;1,230.00
08/01/2026;1,205.00
09/01/2026;1,230.00
12/01/2026;1,270.00
